pericallosal,occipital_sup,oc-temp_med-Parahip,circular_insula_ant,temporalpole,parahippocampal,front_middle,inferiortemporal,collat_transv_post,subcallosal
0.331899982,0.662093071,0.308632523,-1.66698887,0.431998099,0.885859554,-0.857442885,-0.866195003,0.644598133,0.796554003
-0.860938547,0.552170283,-0.885848685,-0.41212328,-0.075698179,0.958740646,0.330042312,0.66662059,0.420962046,1.315314801
-0.284533352,-1.045544657,-0.508644093,2.311020417,-0.359410804,1.297637725,-0.41046812,0.407997383,-0.644598133,0.346961311
-0.748859759,0.3144303,1.151056111,0.027506502,-0.478868752,-0.203712775,-0.540557791,-0.651726977,-1.743045971,0.231681134
-1.009042659,-0.235183639,-1.34687652,-0.715169052,0.118420986,0.528742202,-1.357787772,-0.039862317,0.611710473,-0.264023628
-1.80960543,2.006729965,-0.399673878,-0.719437302,1.701238792,1.235688796,0.086541134,0.389073734,0.822191496,0.923362198
0.327897168,-1.955603087,-2.009080136,0.911034316,0.028827526,-1.533792708,-0.547229056,-0.512953549,0.499892429,-0.483055965
-1.561430971,-0.066464942,0.291867874,-0.228588517,0.551456046,-1.584809473,0.123233092,-0.954505366,0.70379592,-0.875008568
-0.668803482,-0.590515442,0.761278033,-0.672486549,0.073624256,-0.797693677,-0.297056612,-0.752653107,-1.966682058,-0.494583983
-0.22048833,-1.395763772,0.530764116,2.063461899,-1.07615849,0.120608085,-0.170302574,-0.424643186,1.157645626,0.335433294
-0.356584001,-0.547057595,0.28348555,0.219577766,-1.524125793,-1.384386469,-1.511226871,0.31968702,-1.019517455,0.162513028
-1.005039845,0.976523371,1.083997517,0.198236514,0.700778481,-0.524389581,-1.267725693,0.042140163,0.144705703,-0.229439575
-1.261219932,0.465254591,0.296059036,-0.429196281,0.118420986,-0.262017649,-0.206994533,-0.582340263,0.532780089,-0.655976231
-0.384603698,-0.539388564,1.104953328,0.266528519,-0.030901448,-0.411423888,0.159925051,0.407997383,-0.111818043,0.358489329
-0.068381403,-0.501043405,-0.7182022,-0.386513778,-0.672987917,-1.708707329,-0.613941707,-0.828347704,1.525987416,0.416129418
1.344611888,-1.201481635,-0.831363577,0.889693064,-0.29968183,-1.675910838,-0.847435988,2.691451065,-0.70379592,0.04723285
2.66554046,1.549144406,0.878630572,0.518355287,-1.344938872,-0.072526809,0.633584877,0.508923513,1.328661457,-2.823243564
0.355916865,1.881469113,0.983409626,-1.022483074,-0.493800995,-1.453623507,0.76701018,1.228022186,0.822191496,0.738913914
